id,ds,max_vel,beta,err_x,err_v
0,12.929211970368746,33.76164881878657,1.6660577480943104,1353.4863842400741,13.45167233992376
1,13.255082586164066,13.319165242318277,1.3698164004425069,13737.639063203216,12.334140680798853
2,14.393387421177682,21.71155229118196,1.7824632664682563,8806.413440802487,12.538769926475135
3,17.025446338634932,19.341166713830766,1.6236765321221156,12742.356084756082,12.797714524474907
4,16.915835130926506,30.23692109227787,1.687348980902881,6432.391810806699,12.058590977728167
5,14.635023422026968,21.803257415075105,1.6328129907908082,7532.438608647184,12.443238628119943
6,15.232487099507342,28.172895723538304,1.5748376894986755,3909.660991502283,11.411140893026383
7,12.382296367879107,25.435128675737612,1.5436311937335885,1137.8772335912795,10.940419722628764
8,16.859416373165722,21.88464384949264,1.4131514605852113,8034.086037854156,12.531796761962273
9,16.482496128748853,35.12773650965262,1.7707288850717484,4600.423631870328,11.3190937093802
10,17.16768412095807,13.474516110216378,1.5781387998113592,20046.142556566436,13.234218792694525
11,17.692360534938576,20.93730378300293,1.5340561667580754,11215.618464907924,12.793127038899609
12,12.517758808751555,32.24457370904301,1.43216613251019,3578.1483975045185,13.46158818684036
13,17.8924084331453,29.082240323717865,1.6885117291632283,8274.389942053516,12.616410328855837
14,16.84711588304507,25.14920397568722,1.4755421203262835,6510.4897514361255,12.572579005294825
15,12.38910925737311,14.443543724992907,1.3801062071843786,10035.600542432763,12.072899012172641
16,16.809624114929758,37.42954851411439,1.7506246922195183,3766.2390904917497,11.130126527730333
17,13.256034477502048,28.49464561915617,1.7052751828338182,2351.872702156686,10.725399927682068
18,13.929606699129286,30.9318126038888,1.3063593588635933,2350.259318413338,9.704732535758108
19,12.727184078096903,35.2588430927231,1.4613348996254936,4608.118048307947,14.990245377358296
20,17.105999109166135,16.15747868706851,1.799172530437494,17759.304715854698,13.094616741569777
21,15.295933813302089,38.320504667512935,1.768395120363906,1266.058574514172,13.414214433451383
22,17.426351544632546,28.28923955482353,1.666725313273312,7812.104686057426,12.60426397198716
23,17.035332952385158,36.564942913209606,1.3038519573426541,1491.7312358049296,8.1879723088065
24,17.381389731452302,16.82514525054198,1.33980608492613,13038.135348615206,12.500659347672519
25,12.945574532738867,24.7902693615953,1.3726094914393925,692.9203209201152,11.063343423816812
26,14.459307711617637,27.724564010285228,1.2313015024007108,892.9258852654622,11.255296289048651
27,13.658394143795675,30.891920195513684,1.403017302525252,1634.2816693279476,9.504481801979098
28,16.620379255193278,33.589797565798804,1.644133156721205,3903.4017511897896,10.995316757744911
29,17.784663098309764,39.408073193442384,1.2726491177304855,2461.046411045653,12.549697436925108
30,14.590444709540458,39.208097391219276,1.4064235391475204,4699.315137222084,15.985405233717831
31,13.256125909315745,22.94067941933197,1.7561054375603127,6002.479468258052,12.230880347154198
32,12.000801501248704,13.206154427842456,1.31766989086551,11557.818126311804,12.107595875594964
33,17.855781744015147,33.2922643214272,1.6905153042227683,6297.663012074245,11.694274731140199
34,17.78196794244613,14.246003210012777,1.2895200035463836,17114.40701028071,12.844385672989633
